Left 4 Dead 2," 16 Nov, 2009",433972,"Zombies, Co-op, FPS, Multiplayer, Shooter, Action, Online Co-Op, Survival, Horror, First-Person, Gore, Team-Based, Moddable, Survival Horror, Post-apocalyptic, Singleplayer, Adventure, Local Co-Op, Replay Value, Tactical"
City Car Driving," 3 Nov, 2016",14453,"Simulation, Driving, Automobile Sim, Open World, Survival Horror, Realistic, Multiplayer, Singleplayer, Racing, First-Person, Moddable, Physics, Indie, VR, Family Friendly, Psychological Horror, Adventure, Education, Action, Casual"
Aircraft Carrier Survival, 2022 年 4 月 20 日,,"模拟, 海战, 动作, 策略, 拟真, 生存, 探索, 二战, 经济, 重玩价值, 海军, 战争, 资源管理, 管理, 战术, 单人, 开放世界, 沙盒, 基地建设, 独立"
Among Us, 2018 年 11 月 16 日,543041,"多人, 社交推理, 在线合作, 太空, 生存, 2D, 欢乐, 心理, 合作, 卡通风格, 社交聚会游戏, 本地多人, 休闲, 动作, 科幻, 玩家对战, 彩色, 小游戏, 外星人, 俯视"
7 Days to Die," 13 Dec, 2013",149026,"Survival, Zombies, Voxel, Open World, Open World Survival Craft, Multiplayer, Post-apocalyptic, Base Building, Exploration, Online Co-Op, Simulation, Sandbox, Building, Strategy, Character Customization, FPS, Procedural Generation, Tower Defense, Action, Early Access"
Remnant: From the Ashes, 2019 年 8 月 19 日,34464,"类魂系列, 动作, 角色扮演, 冒险, 合作, 第三人称射击, 多人, 在线合作, 射击, 后末日, 生存, 困难, 单人, 洛夫克拉夫特式, 暴力, 黑暗奇幻, 重玩价值, 恐怖, 程序生成, 氛围"
Deadside," 14 Apr, 2020",20892,"Survival, Open World, Multiplayer, Massively Multiplayer, Open World Survival Craft, Action, Adventure, Base Building, Crafting, Post-apocalyptic, Shooter, Early Access, PvP, Indie, FPS, Realistic, Singleplayer, Violent, Gore, First-Person"
Core Keeper," 8 Mar, 2022",8214,"Early Access, Online Co-Op, Sandbox, Pixel Graphics, Adventure, 2D, Procedural Generation, Dungeon Crawler, Farming Sim, Casual, Relaxing, Crafting, Cooking, Exploration, Simulation, Survival, Atmospheric, Building, Mining, Mystery"
Ghostrunner - 幽灵行者, 2020 年 10 月 27 日,30323,"动作, 赛博朋克, 快节奏, 第一人称, 困难, 单人, 剑术, 未来, 暴力, 科幻, 砍杀, 动作冒险, 好评原声音轨, 冒险, 战斗, 后末日, 格斗, 策略, 射击, 互动小说"
Winter Survival, Q2 2022,,"Survival, Exploration, Snow, Sandbox, Immersive Sim, First-Person, Fishing, Hunting, Choose Your Own Adventure, Action-Adventure, Base Building, Cooking, Choices Matter, Stealth, Crafting, Building, Nature, Physics, Open World, Walking Simulator"
Medieval Dynasty," 23 Sep, 2021",20793,"Survival, Building, Open World, Medieval, Singleplayer, RPG, City Builder, Crafting, Simulation, Adventure, Sandbox, Colony Sim, Multiplayer, Resource Management, Realistic, Action, Exploration, Historical, First-Person, Early Access"
Hyper Light Breaker, 2023,,"Action, Adventure, RPG, Action-Adventure, Action RPG, Stylized, 3D, Third Person, Open World, Atmospheric, Post-apocalyptic, Sci-fi, Dark Fantasy, Fantasy, Surreal, Character Customization, Combat, Controller, Hack and Slash, PvE"
Space Engineers," 28 Feb, 2019",80626,"Space, Sandbox, Building, Multiplayer, Open World Survival Craft, Simulation, Survival, Open World, Physics, Crafting, Destruction, Co-op, Indie, Futuristic, Sci-fi, Singleplayer, Action, Strategy, Adventure, Early Access"
The Cycle: Frontier, 2022,,"Free to Play, FPS, Multiplayer, PvP, PvE, Competitive, Action, Sci-fi, First-Person, Shooter, Online Co-Op, Looter Shooter, Space, Futuristic, Co-op, Massively Multiplayer, Team-Based, Character Customization, Combat, 3D"
Half-Life: Alyx," 23 Mar, 2020",59700,"VR, FPS, Story Rich, Horror, Shooter, Female Protagonist, First-Person, Action, Singleplayer, Zombies, Sci-fi, Atmospheric, Beautiful, Adventure, Aliens, Futuristic, Psychological Horror, Memes, Great Soundtrack, Gore"
GTFO," 9 Dec, 2021",27073,"Online Co-Op, Horror, Co-op, FPS, Shooter, Difficult, Survival Horror, Multiplayer, Action, Stealth, Tactical, Team-Based, Gore, First-Person, Character Customization, PvE, Zombies, Violent, Atmospheric, Replay Value"
Subnautica," 23 Jan, 2018",174324,"Open World Survival Craft, Survival, Open World, Exploration, Underwater, Crafting, Horror, Base Building, Singleplayer, Adventure, First-Person, Sci-fi, Sandbox, Aliens, Atmospheric, Survival Horror, Action, Multiplayer, Indie, Early Access"
Conan Exiles," 8 May, 2018",53272,"Survival, Open World, Building, Nudity, Open World Survival Craft, Crafting, Multiplayer, RPG, Sandbox, Massively Multiplayer, Action, Adventure, Online Co-Op, Exploration, Violent, Co-op, Singleplayer, Fantasy, PvP, Gore"
